Timecourse,Trial,Period,FiringRate_Hz,Stimulus_name
POST10,1,Baseline,0,Female call
POST10,1,Stimulus,0.5,Female call
POST10,2,Baseline,0,Female call
POST10,2,Stimulus,7,Female call
POST10,3,Baseline,0,Female call
POST10,3,Stimulus,4,Female call
POST10,4,Baseline,0,Female call
POST10,4,Stimulus,4.5,Female call
POST10,5,Baseline,0,Female call
POST10,5,Stimulus,4,Female call
POST10,6,Baseline,0,Male song 1
POST10,6,Stimulus,8.5,Male song 1
POST10,7,Baseline,0,Male song 1
POST10,7,Stimulus,7,Male song 1
POST10,8,Baseline,0,Male song 1
POST10,8,Stimulus,12,Male song 1
POST10,9,Baseline,0,Male song 1
POST10,9,Stimulus,9.5,Male song 1
POST10,10,Baseline,0,Male song 1
POST10,10,Stimulus,11.5,Male song 1
POST10,11,Baseline,0,Male song 2
POST10,11,Stimulus,10,Male song 2
POST10,12,Baseline,0,Male song 2
POST10,12,Stimulus,18,Male song 2
POST10,13,Baseline,10,Male song 2
POST10,13,Stimulus,8,Male song 2
POST10,14,Baseline,0,Male song 2
POST10,14,Stimulus,9.5,Male song 2
POST10,15,Baseline,0,Male song 2
POST10,15,Stimulus,13.5,Male song 2
POST10,16,Baseline,6,White noise
POST10,16,Stimulus,8,White noise
POST10,17,Baseline,0,White noise
POST10,17,Stimulus,2.5,White noise
POST10,18,Baseline,0,White noise
POST10,18,Stimulus,3,White noise
POST10,19,Baseline,0,White noise
POST10,19,Stimulus,1,White noise
POST10,20,Baseline,0,White noise
POST10,20,Stimulus,8.5,White noise
POST17,1,Baseline,2,Female call
POST17,1,Stimulus,13,Female call
POST17,2,Baseline,2,Female call
POST17,2,Stimulus,14,Female call
POST17,3,Baseline,2,Female call
POST17,3,Stimulus,11.5,Female call
POST17,4,Baseline,0,Female call
POST17,4,Stimulus,7.5,Female call
POST17,5,Baseline,0,Female call
POST17,5,Stimulus,9.5,Female call
POST17,6,Baseline,0,Male song 1
POST17,6,Stimulus,16,Male song 1
POST17,7,Baseline,0,Male song 1
POST17,7,Stimulus,20,Male song 1
POST17,8,Baseline,0,Male song 1
POST17,8,Stimulus,7,Male song 1
POST17,9,Baseline,8,Male song 1
POST17,9,Stimulus,7,Male song 1
POST17,10,Baseline,0,Male song 1
POST17,10,Stimulus,12,Male song 1
POST17,11,Baseline,0,Male song 2
POST17,11,Stimulus,16.5,Male song 2
POST17,12,Baseline,0,Male song 2
POST17,12,Stimulus,12.5,Male song 2
POST17,13,Baseline,0,Male song 2
POST17,13,Stimulus,11,Male song 2
POST17,14,Baseline,0,Male song 2
POST17,14,Stimulus,15,Male song 2
POST17,15,Baseline,0,Male song 2
POST17,15,Stimulus,16.5,Male song 2
POST17,16,Baseline,0,White noise
POST17,16,Stimulus,19.5,White noise
POST17,17,Baseline,0,White noise
POST17,17,Stimulus,6,White noise
POST17,18,Baseline,0,White noise
POST17,18,Stimulus,1,White noise
POST17,19,Baseline,78,White noise
POST17,19,Stimulus,10.5,White noise
POST17,20,Baseline,2,White noise
POST17,20,Stimulus,13.5,White noise
POST5,1,Baseline,0,Female call
POST5,1,Stimulus,3,Female call
POST5,2,Baseline,0,Female call
POST5,2,Stimulus,2.5,Female call
POST5,3,Baseline,0,Female call
POST5,3,Stimulus,4.5,Female call
POST5,4,Baseline,0,Female call
POST5,4,Stimulus,4,Female call
POST5,5,Baseline,0,Female call
POST5,5,Stimulus,4.5,Female call
POST5,6,Baseline,0,Male song 1
POST5,6,Stimulus,0.5,Male song 1
POST5,7,Baseline,0,Male song 1
POST5,7,Stimulus,0.5,Male song 1
POST5,8,Baseline,0,Male song 1
POST5,8,Stimulus,7.5,Male song 1
POST5,9,Baseline,30,Male song 1
POST5,9,Stimulus,1.5,Male song 1
POST5,10,Baseline,0,Male song 1
POST5,10,Stimulus,0,Male song 1
POST5,11,Baseline,0,Male song 2
POST5,11,Stimulus,9.5,Male song 2
POST5,12,Baseline,12,Male song 2
POST5,12,Stimulus,0,Male song 2
POST5,13,Baseline,0,Male song 2
POST5,13,Stimulus,16,Male song 2
POST5,14,Baseline,0,Male song 2
POST5,14,Stimulus,0,Male song 2
POST5,15,Baseline,0,Male song 2
POST5,15,Stimulus,8,Male song 2
POST5,16,Baseline,0,White noise
POST5,16,Stimulus,1.5,White noise
POST5,17,Baseline,0,White noise
POST5,17,Stimulus,0,White noise
POST5,18,Baseline,0,White noise
POST5,18,Stimulus,7.5,White noise
POST5,19,Baseline,0,White noise
POST5,19,Stimulus,0.5,White noise
POST5,20,Baseline,0,White noise
POST5,20,Stimulus,0.5,White noise
POST60,1,Baseline,0,Female call
POST60,1,Stimulus,10,Female call
POST60,2,Baseline,0,Female call
POST60,2,Stimulus,28,Female call
POST60,3,Baseline,50,Female call
POST60,3,Stimulus,25.5,Female call
POST60,4,Baseline,0,Female call
POST60,4,Stimulus,34.5,Female call
POST60,5,Baseline,0,Female call
POST60,5,Stimulus,0,Female call
POST60,6,Baseline,70,Male song 1
POST60,6,Stimulus,17,Male song 1
POST60,7,Baseline,16,Male song 1
POST60,7,Stimulus,6,Male song 1
POST60,8,Baseline,2,Male song 1
POST60,8,Stimulus,39,Male song 1
POST60,9,Baseline,10,Male song 1
POST60,9,Stimulus,1,Male song 1
POST60,10,Baseline,0,Male song 1
POST60,10,Stimulus,0,Male song 1
POST60,11,Baseline,42,Male song 2
POST60,11,Stimulus,16,Male song 2
POST60,12,Baseline,2,Male song 2
POST60,12,Stimulus,9.5,Male song 2
POST60,13,Baseline,8,Male song 2
POST60,13,Stimulus,24,Male song 2
POST60,14,Baseline,0,Male song 2
POST60,14,Stimulus,10.5,Male song 2
POST60,15,Baseline,0,Male song 2
POST60,15,Stimulus,0,Male song 2
POST60,16,Baseline,28,White noise
POST60,16,Stimulus,2.5,White noise
POST60,17,Baseline,0,White noise
POST60,17,Stimulus,0,White noise
POST60,18,Baseline,0,White noise
POST60,18,Stimulus,10,White noise
POST60,19,Baseline,0,White noise
POST60,19,Stimulus,6.5,White noise
POST60,20,Baseline,0,White noise
POST60,20,Stimulus,0,White noise
PRE,1,Baseline,10,Female call
PRE,1,Stimulus,8,Female call
PRE,2,Baseline,24,Female call
PRE,2,Stimulus,9.5,Female call
PRE,3,Baseline,34,Female call
PRE,3,Stimulus,5,Female call
PRE,4,Baseline,16,Female call
PRE,4,Stimulus,32.5,Female call
PRE,5,Baseline,26,Female call
PRE,5,Stimulus,35.5,Female call
PRE,6,Baseline,18,Male song 1
PRE,6,Stimulus,43.5,Male song 1
PRE,7,Baseline,10,Male song 1
PRE,7,Stimulus,27,Male song 1
PRE,8,Baseline,26,Male song 1
PRE,8,Stimulus,37.5,Male song 1
PRE,9,Baseline,8,Male song 1
PRE,9,Stimulus,29,Male song 1
PRE,10,Baseline,2,Male song 1
PRE,10,Stimulus,30,Male song 1
PRE,11,Baseline,6,Male song 2
PRE,11,Stimulus,32.5,Male song 2
PRE,12,Baseline,16,Male song 2
PRE,12,Stimulus,35,Male song 2
PRE,13,Baseline,22,Male song 2
PRE,13,Stimulus,23.5,Male song 2
PRE,14,Baseline,18,Male song 2
PRE,14,Stimulus,41,Male song 2
PRE,15,Baseline,24,Male song 2
PRE,15,Stimulus,22,Male song 2
PRE,16,Baseline,4,White noise
PRE,16,Stimulus,10.5,White noise
PRE,17,Baseline,20,White noise
PRE,17,Stimulus,5,White noise
PRE,18,Baseline,20,White noise
PRE,18,Stimulus,7,White noise
PRE,19,Baseline,28,White noise
PRE,19,Stimulus,7,White noise
PRE,20,Baseline,12,White noise
PRE,20,Stimulus,8,White noise
