Unit,Bird_ID,Hemisphere,Track,Depth,Unit_letter,Method,Accuracy,Stimulus
R37-R3_Lhem_2_2.45_A,R37-R3,Lhem,2,2.45,A,rcorr,0.249222222,Female_call
R37-R3_Lhem_2_2.45_A,R37-R3,Lhem,2,2.45,A,rcorr,0.219111111,Male_song_1
R37-R3_Lhem_2_2.45_A,R37-R3,Lhem,2,2.45,A,rcorr,0.241888889,Male_song_2
R37-R3_Lhem_2_2.45_A,R37-R3,Lhem,2,2.45,A,rcorr,0.183333333,Male_song_3
R37-R3_Lhem_2_2.45_A,R37-R3,Lhem,2,2.45,A,rcorr,0.150333333,White_noise
R37-R3_Lhem_2_2.45_B,R37-R3,Lhem,2,2.45,B,rcorr,0.372888889,Female_call
R37-R3_Lhem_2_2.45_B,R37-R3,Lhem,2,2.45,B,rcorr,0.172,Male_song_1
R37-R3_Lhem_2_2.45_B,R37-R3,Lhem,2,2.45,B,rcorr,0.216444444,Male_song_2
R37-R3_Lhem_2_2.45_B,R37-R3,Lhem,2,2.45,B,rcorr,0.198777778,Male_song_3
R37-R3_Lhem_2_2.45_B,R37-R3,Lhem,2,2.45,B,rcorr,0.300222222,White_noise
R37-R3_Lhem_2_2.45_C,R37-R3,Lhem,2,2.45,C,rcorr,0.315111111,Female_call
R37-R3_Lhem_2_2.45_C,R37-R3,Lhem,2,2.45,C,rcorr,0.196222222,Male_song_1
R37-R3_Lhem_2_2.45_C,R37-R3,Lhem,2,2.45,C,rcorr,0.175888889,Male_song_2
R37-R3_Lhem_2_2.45_C,R37-R3,Lhem,2,2.45,C,rcorr,0.156555556,Male_song_3
R37-R3_Lhem_2_2.45_C,R37-R3,Lhem,2,2.45,C,rcorr,0.240777778,White_noise
R37-R3_Lhem_2_2.55_A,R37-R3,Lhem,2,2.55,A,rcorr,0.227444444,Female_call
R37-R3_Lhem_2_2.55_A,R37-R3,Lhem,2,2.55,A,rcorr,0.127111111,Male_song_1
R37-R3_Lhem_2_2.55_A,R37-R3,Lhem,2,2.55,A,rcorr,0.250333333,Male_song_2
R37-R3_Lhem_2_2.55_A,R37-R3,Lhem,2,2.55,A,rcorr,0.178111111,Male_song_3
R37-R3_Lhem_2_2.55_A,R37-R3,Lhem,2,2.55,A,rcorr,0.280222222,White_noise
R37-R3_Lhem_2_2.55_B,R37-R3,Lhem,2,2.55,B,rcorr,0.120333333,Female_call
R37-R3_Lhem_2_2.55_B,R37-R3,Lhem,2,2.55,B,rcorr,0.198444444,Male_song_1
R37-R3_Lhem_2_2.55_B,R37-R3,Lhem,2,2.55,B,rcorr,0.256888889,Male_song_2
R37-R3_Lhem_2_2.55_B,R37-R3,Lhem,2,2.55,B,rcorr,0.235666667,Male_song_3
R37-R3_Lhem_2_2.55_B,R37-R3,Lhem,2,2.55,B,rcorr,0.197111111,White_noise
R37-R3_Lhem_2_2.65_A,R37-R3,Lhem,2,2.65,A,rcorr,0.320888889,Female_call
R37-R3_Lhem_2_2.65_A,R37-R3,Lhem,2,2.65,A,rcorr,0.203444444,Male_song_1
R37-R3_Lhem_2_2.65_A,R37-R3,Lhem,2,2.65,A,rcorr,0.332333333,Male_song_2
R37-R3_Lhem_2_2.65_A,R37-R3,Lhem,2,2.65,A,rcorr,0.232333333,Male_song_3
R37-R3_Lhem_2_2.65_A,R37-R3,Lhem,2,2.65,A,rcorr,0.268555556,White_noise
R37-R3_Lhem_2_2.65_B,R37-R3,Lhem,2,2.65,B,rcorr,0.201666667,Female_call
R37-R3_Lhem_2_2.65_B,R37-R3,Lhem,2,2.65,B,rcorr,0.225333333,Male_song_1
R37-R3_Lhem_2_2.65_B,R37-R3,Lhem,2,2.65,B,rcorr,0.267555556,Male_song_2
R37-R3_Lhem_2_2.65_B,R37-R3,Lhem,2,2.65,B,rcorr,0.172222222,Male_song_3
R37-R3_Lhem_2_2.65_B,R37-R3,Lhem,2,2.65,B,rcorr,0.286333333,White_noise
R37-R3_Lhem_2_2.70_A,R37-R3,Lhem,2,2.7,A,rcorr,0.500555556,Female_call
R37-R3_Lhem_2_2.70_A,R37-R3,Lhem,2,2.7,A,rcorr,0.266333333,Male_song_1
R37-R3_Lhem_2_2.70_A,R37-R3,Lhem,2,2.7,A,rcorr,0.318666667,Male_song_2
R37-R3_Lhem_2_2.70_A,R37-R3,Lhem,2,2.7,A,rcorr,0.297777778,Male_song_3
R37-R3_Lhem_2_2.70_A,R37-R3,Lhem,2,2.7,A,rcorr,0.210333333,White_noise
R37-R3_Lhem_2_2.70_B,R37-R3,Lhem,2,2.7,B,rcorr,0.409555556,Female_call
R37-R3_Lhem_2_2.70_B,R37-R3,Lhem,2,2.7,B,rcorr,0.452222222,Male_song_1
R37-R3_Lhem_2_2.70_B,R37-R3,Lhem,2,2.7,B,rcorr,0.390222222,Male_song_2
R37-R3_Lhem_2_2.70_B,R37-R3,Lhem,2,2.7,B,rcorr,0.361666667,Male_song_3
R37-R3_Lhem_2_2.70_B,R37-R3,Lhem,2,2.7,B,rcorr,0.287444444,White_noise
R37-R3_Lhem_2_2.75_A,R37-R3,Lhem,2,2.75,A,rcorr,0.196666667,Female_call
R37-R3_Lhem_2_2.75_A,R37-R3,Lhem,2,2.75,A,rcorr,0.315666667,Male_song_1
R37-R3_Lhem_2_2.75_A,R37-R3,Lhem,2,2.75,A,rcorr,0.28,Male_song_2
R37-R3_Lhem_2_2.75_A,R37-R3,Lhem,2,2.75,A,rcorr,0.177222222,Male_song_3
R37-R3_Lhem_2_2.75_A,R37-R3,Lhem,2,2.75,A,rcorr,0.330111111,White_noise
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.507111111,Female_call
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.300222222,Male_song_1
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.346888889,Male_song_2
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.298,Male_song_3
R37-R3_Lhem_2_2.75_B,R37-R3,Lhem,2,2.75,B,rcorr,0.345111111,White_noise
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.458888889,Female_call
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.263222222,Male_song_1
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.224666667,Male_song_2
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.141555556,Male_song_3
R37-R3_Lhem_2_2.80_A,R37-R3,Lhem,2,2.8,A,rcorr,0.393333333,White_noise
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.391444444,Female_call
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.450777778,Male_song_1
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.330777778,Male_song_2
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.27,Male_song_3
R37-R3_Lhem_2_2.80_B,R37-R3,Lhem,2,2.8,B,rcorr,0.389222222,White_noise
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.520333333,Female_call
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.158444444,Male_song_1
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.230555556,Male_song_2
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.120888889,Male_song_3
R37-R3_Lhem_2_2.90_A,R37-R3,Lhem,2,2.9,A,rcorr,0.193666667,White_noise
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.372,Female_call
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.168111111,Male_song_1
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.191666667,Male_song_2
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.122222222,Male_song_3
R37-R3_Lhem_2_2.90_B,R37-R3,Lhem,2,2.9,B,rcorr,0.195666667,White_noise
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.195444444,Female_call
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.256111111,Male_song_1
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.317333333,Male_song_2
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.186666667,Male_song_3
R37-R3_Lhem_2_3.00_A,R37-R3,Lhem,2,3,A,rcorr,0.196888889,White_noise
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.337555556,Female_call
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.156111111,Male_song_1
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.258888889,Male_song_2
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.18,Male_song_3
R37-R3_Lhem_2_3.00_B,R37-R3,Lhem,2,3,B,rcorr,0.171333333,White_noise
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.378555556,Female_call
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.242333333,Male_song_1
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.136,Male_song_2
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.206222222,Male_song_3
R37-R3_Lhem_2_3.10_A,R37-R3,Lhem,2,3.1,A,rcorr,0.301666667,White_noise
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.193888889,Female_call
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.169777778,Male_song_1
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.294333333,Male_song_2
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.189222222,Male_song_3
R37-R3_Lhem_2_3.10_B,R37-R3,Lhem,2,3.1,B,rcorr,0.315111111,White_noise
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.238222222,Female_call
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.297444444,Male_song_1
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.190111111,Male_song_2
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.186,Male_song_3
W32_Rhem_1_2.40_A,W32,Rhem,1,2.4,A,rcorr,0.510666667,White_noise
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.296333333,Female_call
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.278666667,Male_song_1
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.202555556,Male_song_2
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.339111111,Male_song_3
W32_Rhem_1_2.40_B,W32,Rhem,1,2.4,B,rcorr,0.497777778,White_noise
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.380777778,Female_call
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.283333333,Male_song_1
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.300888889,Male_song_2
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.483333333,Male_song_3
W32_Rhem_1_2.45_A,W32,Rhem,1,2.45,A,rcorr,0.240333333,White_noise
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.386555556,Female_call
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.269444444,Male_song_1
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.298,Male_song_2
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.473333333,Male_song_3
W32_Rhem_1_2.45_B,W32,Rhem,1,2.45,B,rcorr,0.240555556,White_noise
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.238555556,Female_call
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.281444444,Male_song_1
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.318444444,Male_song_2
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.234222222,Male_song_3
W32_Rhem_1_2.50_A,W32,Rhem,1,2.5,A,rcorr,0.136555556,White_noise
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.318,Female_call
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.233444444,Male_song_1
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.224666667,Male_song_2
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.204444444,Male_song_3
W32_Rhem_1_2.50_B,W32,Rhem,1,2.5,B,rcorr,0.229,White_noise
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.218111111,Female_call
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.242777778,Male_song_1
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.305888889,Male_song_2
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.199777778,Male_song_3
W32_Rhem_1_2.55_A,W32,Rhem,1,2.55,A,rcorr,0.247666667,White_noise
W32_Rhem_1_2.55_B,W32,Rhem,1,2.55,B,rcorr,0.221222222,Female_call
W32_Rhem_1_2.55_B,W32,Rhem,1,2.55,B,rcorr,0.172,Male_song_1
